gauge,station,portal_latitude,portal_longitude,waterschap_pin_latitude,waterschap_pin_longitude,offset_m,source
11.Q.32,Eys,50.82534,5.929363,50.825302,5.92935,4.3,"Waterschap Limburg email 2026-09-07, Google Maps link https://maps.app.goo.gl/E2L278VD2PVNY6UA6, resolved 2026-09-18"
6.Q.18,Brommelen,50.90888,5.91257,50.908844,5.912458,8.8,"Waterschap Limburg email 2026-09-07, Google Maps link https://maps.app.goo.gl/3Rk4hsSgjEVBS2dF6, resolved 2026-09-18"
10.Q.29,Cottessen,50.758151,5.934304,50.758179,5.934193,8.4,"Waterschap Limburg email 2026-09-07, Google Maps link https://maps.app.goo.gl/fQUMPDcX9Hfp8gre7, resolved 2026-09-18"
13.Q.34,Azijnfabriek,50.81414,5.891548,50.814095,5.891478,7.0,"Waterschap Limburg email 2026-09-07, Google Maps link https://maps.app.goo.gl/ga7EyASRPFCSFJRm9, resolved 2026-09-18"
15.Q.41,Mesch,50.764142,5.736476,50.764141,5.736477,0.1,"Waterschap Limburg email 2026-09-07, Google Maps link https://maps.app.goo.gl/WUs6fECgCNR8JDQK8, resolved 2026-09-18"
18.Q.45,Rimburg,50.91466,6.087278,50.914658,6.08728,0.3,"Waterschap Limburg email 2026-09-07, Google Maps link https://maps.app.goo.gl/G2qZWeXTkFYs47W5A, resolved 2026-09-18"
